2019-09-08 11:49:45.072 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Desktop\BEAZLEYGroup\MessageBusFun\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-08 11:49:45.861 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-08 11:49:46.189 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-08 11:49:51.026 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-08 11:49:53.074 INFO  Consumer.Program Select a Channel to subscribe to from the available channels list...
2019-09-08 11:49:53.079 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-08 11:57:22.150 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Desktop\BEAZLEYGroup\MessageBusFun\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-08 11:57:23.139 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-08 11:57:23.418 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-08 12:40:18.656 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Desktop\BEAZLEYGroup\MessageBusFun\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-08 12:40:19.744 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-08 12:40:20.000 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-08 12:40:26.251 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-08 12:40:29.242 INFO  Consumer.Program Select a Channel to subscribe to from the available channels list...
2019-09-08 12:40:29.246 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-08 12:40:33.411 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-08 12:40:35.349 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-08 12:40:37.137 INFO  Consumer.Program Requesting registration, PublisherID = 602dbc49-fdd1-45cd-ad07-422a5659a831
2019-09-08 12:40:37.299 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-08 12:40:37.601 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfilly..., NominatedChannelName = ChannelTwo
2019-09-08 12:46:06.304 INFO  Consumer.Program Unknown input. Please try again.
2019-09-08 12:46:06.309 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-08 12:46:15.106 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-08 12:46:18.746 INFO  Consumer.Program Select a Channel to subscribe to from the available channels list...
2019-09-08 12:46:18.753 INFO  Consumer.Program Please select an option from the list....
2019-09-08 12:46:18.766 INFO  Consumer.Program Typein 1 to select option 1, 2 to select option 2... and so on... 
2019-09-08 12:46:40.103 INFO  Consumer.Program Unknown input. Please try again.
2019-09-08 12:46:40.114 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-08 12:46:48.199 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
